TEMP,start_time_unix,sampling_rate
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.35,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.33,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.31,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.29,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.27,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.21,1629792919.0,4.0
31.21,1629792919.0,4.0
31.21,1629792919.0,4.0
31.21,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.25,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.21,1629792919.0,4.0
31.21,1629792919.0,4.0
31.21,1629792919.0,4.0
31.21,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
31.23,1629792919.0,4.0
